n,id,zg,zn,szn,source,quality
82,GAMAJ113849.92+004538.5,0.31193,0.312005,0.000102,1,5
100,GAMAJ113908.49+004730.4,0.38534,0.385261,0.000103,1,5
317,GAMAJ114324.58+004208.9,0.13341,0.133342,0.000092,1,5
382,GAMAJ114451.38+004528.8,0.12548,0.125497,0.000079,1,5
526,GAMAJ114836.47+004652.6,0.12611,0.126204,0.000100,1,5
31586,GAMAJ115703.70-015022.1,0.1306,0.130568,0.000133,1,5
37709,GAMAJ114410.74-012829.0,0.12388,0.123867,0.000136,1,5
41400,GAMAJ091612.24-004559.3,0.10364,0.103692,0.000048,1,5
41522,GAMAJ092045.05-003814.1,0.22398,0.223991,0.000089,1,5 
42400,GAMAJ085838.75-001346.6,0.38548,0.385721,0.000117,1,5
43827,GAMAJ085317.71+000652.3,0.37482,0.374708,0.000120,1,5
58913,GAMAJ121304.13+015112.8,0.08101,0.081022,0.000130,1,5
59034,GAMAJ121436.56+014019.0,0.39402,0.394029,0.000175,1,5
64534,GAMAJ145131.71+014151.6,0.13448,0.134499,0.000119,1,5
88264,GAMAJ091232.95-005020.9,0.47609,0.476045,0.000180,1,5
92501,GAMAJ143741.98-005132.2,0.2916,0.291690,0.000098,1,5
99245,GAMAJ144348.43-002559.8,0.30525,0.305359,0.000119,1,5
111851,GAMAJ091613.75+004202.3,0.03808,0.038159,0.000065,1,5
114310,GAMAJ142545.90+002242.7,0.32627,0.326157,0.000351,1,5	
114432,GAMAJ121142.58+010337.1,0.29356,0.293476,0.000351,1,5
90574,GAMAJ121334.58-005813.3,0.0994,0.099792,0.000084,2,4	
90673,GAMAJ121514.87-005252.3,0.0753171,0.075319,0.000088,1,4
220,GAMAJ114058.31+004424.2,0.430774,0.430740,0.000214,1,3
315,GAMAJ114316.16+003848.7,0.1181,0.118100,0.000410,2,3	
964,GAMAJ115827.70+004304.4,0.0475,0.047439,0.000117,10,3
1206,GAMAJ120213.41+004401.7,0.1161,0.116000,0.005000,8,3
41568,GAMAJ092147.41-004048.7,0.154451,0.154481,0.000076,1,3